127.0.0.1 - - [05/Dec/2022:10:46:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:46:54 +0900] "GET /FirstJsp/login.jsp HTTP/1.1" 200 3352
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:46:54 +0900] "GET /FirstJsp/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:46:54 +0900] "GET /FirstJsp/script/login-form.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:46:54 +0900] "GET /FirstJsp/css/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:46:54 +0900] "GET /FirstJsp/css/img/foot_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:46:54 +0900] "GET /FirstJsp/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:46:54 +0900] "GET /FirstJsp/css/variables.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:46:54 +0900] "GET /FirstJsp/css/components/info-bar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:46:54 +0900] "GET /FirstJsp/css/components/header-bar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:46:54 +0900] "GET /FirstJsp/css/components/bottom-bar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:46:54 +0900] "GET /FirstJsp/css/components/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:46:54 +0900] "GET /FirstJsp/css/components/team.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:46:54 +0900] "GET /FirstJsp/css/components/index.css HTTP/1.1" 200 2256
